6,muammer develi,1
20,imren aykut,1
22,nevingaye erbatur,1
22,ayhan zeynep tekin boru,1
23,cagla aktemur,1
23,sevahir bayindir,1
24,candan yuceer,1
25,meral danis bestas,1
25,aycan irmez,1
25,yurdusev ozsokmenler,1
22,tacidar seyhan,1
24,sena kaleli,1
24,nurcan dalbudak,1
23,gultan kisanak,1
24,nursel aydogan,1
25,caglar demirel,1
27,salihe aydeniz,1
27,dersim dag,1
24,ulker can,1
24,derya bakbak,1
11,ahsan aral,1
5,sati cirpanoglu,1
17,goksel kalaycioglu,1
23,askin asan,1
24,ulker guzel,1
24,nurdan sanli,1
24,gokcen ozdogan enc,1
25,sena nur celik,1
26,deniz depboylu,1
27,derya yanik,1
27,aysu bankoglu,1
27,feleknas uca,1
25,mizgin irgat,1
23,canan candemir celik,1
17,ledin barlas,1
10,nimet sumer,1
12,nevzat gungor,1
27,esin kara,1
5,mihri iffet pektas,1
23,oznur calik,1
7,saada emin kaatcilar,1
27,pero dundar,1
25,cilem kucukkeles,1
27,sevin coskun,1
27,gulustan kilic kocyigit,1
8,tezer taskiran,1
11,nimet perihan ariburun,1
19,tansu ciller,1
20,meral aksener,1
21,yucel erdener,1
22,nimet bas,1
22,bihlun tamayligil,1
22,canan aritman,1
23,canan kalsin,1
23,sukran guldal mumcu,1
24,safak pavey,1
24,mulkiye birtane,1
25,kiznaz turkeli turidi,1
25,selina dogan,1
25,huda kaya,1
25,nursel reyhanlioglu,1
27,muserref pervin tuba durgut,1
27,iffet polat,1
27,habibe ocal,1
